domain,reason,details,browser_accessible
toyotamacau.com,dns,"HTTPSConnectionPool(host='toyotamacau.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D27AED0>: Failed to resolve 'toyotamacau.com' ([Errno 11001] getaddrinfo failed)""))",no
zenithplasticsurgery.com,redirect,HTML redirect/script,yes
isover.at,blocked-bot-waf,HTTP 403 Forbidden,yes
duracell.fr,ssl,"HTTPSConnectionPool(host='duracell.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
medeforne.fr,ssl,"HTTPSConnectionPool(host='medeforne.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
canon-its.co.jp,timeout,"HTTPSConnectionPool(host='canon-its.co.jp', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1D0890>, 'Connection to canon-its.co.jp timed out. (connect timeout=8)'))",no
mitsubishi-motors.com.ar,timeout,"HTTPSConnectionPool(host='mitsubishi-motors.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D263810>, 'Connection to mitsubishi-motors.com.ar timed out. (connect timeout=8)'))",no
isover.be,blocked-bot-waf,HTTP 403 Forbidden,yes
lamborghini-rotterdam.nl,timeout,"HTTPSConnectionPool(host='www.lamborghini-rotterdam.nl', port=443): Read timed out. (read timeout=8)",no
spitexrl.ch,dns,"HTTPSConnectionPool(host='spitexrl.ch', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D27A450>: Failed to resolve 'spitexrl.ch' ([Errno 11001] getaddrinfo failed)""))",no
holidayland-bruchkoebel.de,dns,"HTTPSConnectionPool(host='holidayland-bruchkoebel.de', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D252F10>: Failed to resolve 'holidayland-bruchkoebel.de' ([Errno 11001] getaddrinfo failed)""))",no
mtn.ng,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
toyotacommonwealth.com,ssl,"HTTPSConnectionPool(host='toyotacommonwealth.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
amway.com.do,other-http,HTTP 200,maybe
uxbistart.com,redirect,HTML redirect/script,yes
brother.cn,timeout,"HTTPSConnectionPool(host='brother.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D242C90>, 'Connection to brother.cn timed out. (connect timeout=8)'))",no
trulynolenbarueri.com.br,other-http,HTTP 200,maybe
wuerth.my,dns,"HTTPSConnectionPool(host='wuerth.my', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D252490>: Failed to resolve 'wuerth.my' ([Errno 11001] getaddrinfo failed)""))",no
sonepar.co,other-http,HTTP 500,maybe
kynixsemiconductor.com,timeout,"HTTPSConnectionPool(host='kynixsemiconductor.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D27AFD0>, 'Connection to kynixsemiconductor.com timed out. (connect timeout=8)'))",no
dhirajsonsonline.com,blocked-bot-waf,HTTP 403 Forbidden,yes
digi-intl.co.jp,ssl,"HTTPSConnectionPool(host='digi-intl.co.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
norauto-empleo.es,other-http,HTTP 200,maybe
papajohns.com.tr,blocked-bot-waf,HTTP 403 Forbidden,yes
aonassurances.com,timeout,"HTTPSConnectionPool(host='aonassurances.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D27AF10>, 'Connection to aonassurances.com timed out. (connect timeout=8)'))",no
duracleanservices.net,not-found,HTTP 404,yes
papajohns.com.pk,blocked-bot-waf,HTTP 403 Forbidden,yes
toyota-lyonsud.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
shimadzumea.com,ssl,"HTTPSConnectionPool(host='shimadzumea.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'shimadzumea.com'. (_ssl.c:992)"")))",no
toyota.com.np,ssl,"HTTPSConnectionPool(host='toyota.com.np', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
ampersand-world.com,unexpected-html,200 OK but suspiciously short (105 bytes),maybe
advantisengineering.com,other-http,HTTP 200,maybe
zkteco-ao.com,dns,"HTTPSConnectionPool(host='zkteco-ao.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2620D0>: Failed to resolve 'zkteco-ao.com' ([Errno 11001] getaddrinfo failed)""))",no
